Precision,Recall,F-Measure,Average Precision,NDGC,Latency
0.28,0.05426356589147287,0.09090909090909091,0.2922089062946146,0.17041060339804498,0.006919384002685547
0.04,0.03333333333333333,0.03636363636363636,0.07,0.03827541472218316,0.012758255004882812
0.08,0.020202020202020204,0.03225806451612903,0.06018018018018018,0.03479962150601345,0.011224508285522461
0.02,0.013888888888888888,0.01639344262295082,0.02857142857142857,0.009106786745858105,0.006328582763671875
0.02,0.005263157894736842,0.008333333333333333,0.09090909090909091,0.010813642680420179,0.059731483459472656
0.22,0.04296875,0.07189542483660132,0.20917300733781682,0.12002861145960224,0.0204010009765625
0.1,0.07142857142857142,0.08333333333333333,0.15992970292262507,0.10339204827099442,0.024180889129638672
0.04,0.02197802197802198,0.028368794326241138,0.06363636363636363,0.031868363653317,0.0357356071472168
0.06,0.08108108108108109,0.06896551724137931,0.4875,0.12495562689987481,0.01570749282836914
0.22,0.22916666666666666,0.22448979591836735,0.4426662226662227,0.25539157667722523,0.022342205047607422
0.02,0.015151515151515152,0.017241379310344824,0.058823529411764705,0.012461970113195012,0.019037485122680664
0.54,0.1210762331838565,0.1978021978021978,0.6022122946397686,0.41034142479915714,0.014397621154785156
0.08,0.01556420233463035,0.026058631921824105,0.24027777777777778,0.060758500486790386,0.012717485427856445
0.26,0.16666666666666666,0.20312500000000003,0.6617780043659967,0.28771066460829753,0.01494598388671875
0.0,0.0,0,0,0.0,0.017986297607421875
0.3,0.1744186046511628,0.22058823529411764,0.3411539962667524,0.2429380025782417,0.021950721740722656
0.26,0.1625,0.2,0.46602592321572534,0.29332340472874835,0.02399754524230957
0.44,0.1774193548387097,0.2528735632183908,0.696734458182316,0.3180915699432665,0.017206192016601562
0.18,0.14516129032258066,0.1607142857142857,0.22345261756496773,0.15362771137175313,0.014278888702392578
0.24,0.11538461538461539,0.15584415584415584,0.23165013301397122,0.1821535136197946,0.017003536224365234
0.08,0.04395604395604396,0.056737588652482275,0.21572681704260652,0.08181512607006108,0.02234029769897461
0.02,0.022727272727272728,0.02127659574468085,0.043478260869565216,0.02284946293544604,0.02042412757873535
0.06,0.1111111111111111,0.07792207792207792,0.055111719106247146,0.07045633111931673,0.015971899032592773
0.1,0.1282051282051282,0.11235955056179775,0.15668877099911582,0.1371824461114063,0.016342639923095703
0.02,0.010752688172043012,0.013986013986013988,0.02857142857142857,0.007498465353885989,0.014760732650756836
0.1,0.031055900621118012,0.047393364928909956,0.3907246376811594,0.14530502105848603,0.02016162872314453
0.42,0.15328467153284672,0.22459893048128343,0.48512335030443143,0.38875434089168426,0.01381373405456543
0.12,0.1935483870967742,0.14814814814814814,0.6843825249398005,0.3335441646252131,0.012798309326171875
0.28,0.0915032679738562,0.13793103448275862,0.486606732329838,0.2203289982183311,0.017954349517822266
0.1,0.09433962264150944,0.09708737864077671,0.32880116959064326,0.12456143207206695,0.013092517852783203
0.02,0.013513513513513514,0.016129032258064516,0.5,0.0594101178530007,0.026333093643188477
0.0,0.0,0,0,0.0,0.013380289077758789
0.02,0.029411764705882353,0.023809523809523815,0.023809523809523808,0.010074051926671755,0.015825510025024414
0.0,0.0,0,0,0.0,0.011596202850341797
0.02,0.058823529411764705,0.02985074626865672,0.02127659574468085,0.016032164132099937,0.022392988204956055
0.32,0.13445378151260504,0.1893491124260355,0.5499848221193474,0.3511980163925119,0.016546964645385742
0.1,0.06329113924050633,0.07751937984496124,0.2861111111111111,0.10225008675050204,0.019065141677856445
0.04,0.02857142857142857,0.03333333333333333,0.03938484621155289,0.028014420552877596,0.016287803649902344
0.26,0.26,0.26,0.6386054401726798,0.3357003227960271,0.002623319625854492
0.16,0.07079646017699115,0.09815950920245399,0.3065233037659508,0.09465063538798563,0.015425682067871094
0.0,0.0,0,0,0.0,0.002808809280395508
0.0,0.0,0,0,0.0,0.0013537406921386719
0.0,0,0,0,0,0.0034470558166503906
0.32,0.43243243243243246,0.36781609195402293,0.7287306437618934,0.5690673221841028,0.023008346557617188
0.1,0.25,0.14285714285714288,0.3351449275362319,0.25080921682382323,0.02329540252685547
0.02,0.07142857142857142,0.03125,1.0,0.13807810668143874,0.012907981872558594
0.04,0.10526315789473684,0.057971014492753624,0.07919254658385093,0.08348991602006313,0.009469985961914062
0.34,0.7727272727272727,0.47222222222222227,0.5563311638924457,0.5925767581748755,0.014201164245605469
0.0,0.0,0,0,0.0,0.0441131591796875
0.04,0.13333333333333333,0.061538461538461535,0.15555555555555556,0.09735407626838921,0.01553797721862793
